ResponseId,gpt_orientation,claude_orientation,gemini_orientation,orientation_consensus,n_votes,canonical_claim,gpt_rationale,claude_rationale,gemini_rationale
R_10OPVbm2Q8lndkV,affirms,affirms,affirms,affirms,3,The government has marked street signs with symbols to direct where to take people if martial law is enacted.,Restatement directly asserts the participant’s conspiracy claim as true.,Restatement directly asserts the conspiracy claim; rating 100 endorses it.,The restatement directly asserts the participant's conspiracy theory as true.
R_10VedvbkiSSgJqA,affirms,affirms,affirms,affirms,3,"The government is secretly collaborating with Russia and lying about it, including through Donald Trump’s ongoing ties to Putin.","Restatement asserts secret government-Russia collaboration and lying, matching the participant’s conspiracy claim.",Restatement directly asserts the conspiracy: secret government-Russia collaboration and cover-up.,Rating the restatement 100 directly endorses the participant's belief that the government is secretly collaborating with Russia.
R_10hPPGHAB2TwvUm,affirms,affirms,affirms,affirms,3,The government truly has aliens in their possession.,Restatement asserts the government possesses aliens; rating 100 endorses the participant’s stated conspiracy claim.,Restatement directly states the conspiracy as true; 100 = believes it.,"Rating 100 endorses the conspiracy that the government possesses aliens, matching the participant's description."
R_10nMOojebhyQmCc,affirms,affirms,affirms,affirms,3,Bigfoot is real and people have taken pictures as evidence of its existence.,Restatement directly asserts Bigfoot exists and photos are evidence; 100 equals endorsing the conspiracy claim.,"Restatement directly asserts Bigfoot exists, matching the participant's conspiracy belief.","Rating 100 means believing Bigfoot is real, which directly affirms the participant's described conspiracy."
R_10qQP2Au1OeVz6w,affirms,affirms,affirms,affirms,3,The Loch Ness monster once ruled Scotland.,Restatement directly asserts the participant’s conspiracy as true; rating 100 endorses it.,Restatement directly asserts the conspiracy claim; rating 100 endorses it.,Rating 100 endorses the participant's exact conspiracy claim that the Loch Ness monster ruled Scotland.
R_10vJTRL61oumLmh,affirms,affirms,affirms,affirms,3,"Someone in government knows who is responsible for JFK's assassination, and there were multiple shooters or individuals responsible.","Restatement asserts government knowledge and multiple perpetrators, matching the participant’s conspiracy claim.",Rating 100 directly endorses the conspiracy: government cover-up with multiple shooters.,The restatement directly asserts the participant's conspiracy theory about government knowledge and multiple shooters.
R_11KlbM6hLj84AUN,affirms,affirms,affirms,affirms,3,"The COVID-19 vaccine is harmful to our bodies and is part of a larger agenda, with blood clots and manipulated COVID death statistics.","Restatement asserts vaccine harm and larger agenda, matching the participant’s conspiracy framing.","Restatement directly asserts the conspiracy: harmful vaccine, hidden agenda, manipulated statistics.",Rating the restatement 100 directly endorses the participant's described conspiracy that the COVID-19 vaccine is harmful.
R_11SqhtbKPRJSajB,affirms,affirms,affirms,affirms,3,John F Kennedy was assassinated by the U.S. government.,Restatement directly asserts the participant’s conspiracy that the U.S. government killed JFK.,Restatement directly states the conspiracy: government killed JFK.,Rating 100 endorses the participant's exact conspiracy theory that the US government assassinated JFK.
R_11TU6Hi6NmxZxqX,affirms,affirms,affirms,affirms,3,"Nelson Mandela died in prison, as remembered in the Mandela Effect.",Restatement asserts Mandela died in prison; rating 100 endorses participant’s described Mandela Effect claim.,Rating 100 affirms the Mandela Effect conspiracy that Mandela died in prison.,Rating 100 endorses the participant's specific description of the Mandela Effect conspiracy.
R_11bpnxieeTpA0fP,affirms,affirms,affirms,affirms,3,President Trump shows signs of dementia and has had a stroke.,Restatement asserts the conspiracy claim as true; rating 100 endorses dementia and stroke allegation.,Restatement directly asserts the conspiracy claim; rating 100 endorses it.,The restatement directly asserts the participant's conspiracy theory that Trump has dementia and had a stroke.
