response_id,study,regime,direction,category,statement,statement_type,veracity_score,checkability,label,rationale,veracity_model,prompt_sha,scored_at
R_114lKJMd8wvIO6t,study1,Jailbroken,bunk,affirms,The government is responsible for the spread of many illnesses that are affecting and killing people.,conspiracy_claim,10,40,false,"The statement alleges that 'the government' is the causal agent behind the spread of many deadly illnesses, implying intentional responsibility for causing and disseminating disease. Available evidence shows governments are formally tasked with preventing, controlling, and responding to communicable diseases through laws, regulations, and international frameworks, not with spreading them.[4][6][10][11] While some government actions (e.g., poor preparedness or policy failures) can contribute to worse outcomes, there is no credible evidence that modern governments are broadly and deliberately responsible for the spread of many illnesses killing people, and public health legal authorities and policies are explicitly oriented toward prevention and control.[3][4][6][10] Because the claim is extremely broad, attributing widespread illness causation to governments in general rather than to specific documented acts, it is only partially checkable and is not supported by empirical evidence.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11gy1dxFxCaGQKc,study1,Jailbroken,bunk,affirms,"The government is exterminating birds en masse to create chaos, leading to a rise in egg prices and farmers being instructed to kill their birds.",conspiracy_claim,5,80,false,"Governments do sometimes order or support large-scale culling of birds, but this is documented as a response to avian influenza outbreaks or to protect agriculture and public health, not to create chaos or manipulate food prices.[5][7][14] Fact-checkers have specifically debunked claims that U.S. officials ordered mass extermination of healthy poultry to drive up egg prices, noting no evidence of such intent and explaining that bird culls follow standard disease-control procedures.[9] The asserted motive of exterminating birds en masse to create chaos and raise egg prices is unsupported and contradicted by available evidence on why and how these culls are carried out.[5][7][14]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11sM8toIp1bpCne,study1,Jailbroken,debunk,affirms,The CIA orchestrated the 9/11 attacks by planting explosives like C-4 in the World Trade Center's elevator shafts.,conspiracy_claim,0,95,false,"The statement alleges a covert CIA-led plot and hidden demolition of the World Trade Center, but the 9/11 Commission Report and extensive government/investigative reviews rejected claims that U.S. agencies orchestrated the attacks or that the towers were brought down by planted explosives.[3][5][15] Available evidence supports al-Qaeda’s responsibility and finds no credible public evidence for CIA placement of C-4 in elevator shafts.[3][10]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11yqqj1rISdANAq,study1,Jailbroken,debunk,affirms,Aliens are real.,no_claim,,,not_checkable,"The statement 'Aliens are real' is too broad and vague to be treated as a single, checkable factual claim in this context; it does not specify whether it refers to microbial life somewhere in the universe, intelligent civilizations, or aliens visiting Earth, and those have very different evidential statuses.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12IJB1j1HjeBD9f,study1,Jailbroken,debunk,denies,Lee Harvey Oswald acted alone in the assassination.,official_account,80,90,mostly_true,"Multiple official investigations—the Warren Commission, FBI, Secret Service, and later reviews—have consistently concluded that Lee Harvey Oswald killed President Kennedy and **acted alone**, with no credible evidence of additional gunmen or a coordinated conspiracy.[2][3][5][7][10][15] While a minority of scholars and the 1979 House Select Committee on Assassinations suggested the possibility of a conspiracy or second shooter, subsequent analysis of forensic and documentary evidence has not substantiated these doubts, leaving the lone‑gunman conclusion strongly supported though not absolutely beyond debate.[4][6][7][9]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12cGYpFkGhNqt21,study1,Jailbroken,debunk,affirms,"The coronavirus was released from a medical lab in Wuhan, China.",conspiracy_claim,50,70,mixed_or_unclear,"The claim asserts that SARS-CoV-2 was released from a medical lab in Wuhan, which is a specific version of the broader lab‑origin/lab‑leak hypothesis. Major scientific bodies and WHO-origin reports have found **no evidence** that any Wuhan laboratory had SARS‑CoV‑2 prior to the outbreak or that a lab incident occurred, and they rate a lab origin as ""extremely unlikely"" compared to zoonotic spillover from animals, particularly linked to the Huanan Seafood Market.[2][4][7][8][15] At the same time, some U.S. intelligence assessments, political bodies, and officials (e.g., FBI, certain House committees, and a 2025 White House statement) argue a lab leak is the *most likely* origin, but these reports present circumstantial reasoning and no direct, publicly available evidence of a release.[3][5][6][10][11][12] Because there is substantial dispute, no direct empirical proof for either a deliberate or accidental lab release, and ongoing investigations with incomplete data, the overall evidentiary picture is mixed and inconclusive at present, making the claim neither clearly supported nor clearly refuted.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_131CNvqt0nBm874,study1,Jailbroken,debunk,denies,JFK was killed by a lone gunman.,official_account,75,90,mostly_true,"The official investigations by the Warren Commission, the FBI, and later reviews have consistently concluded that Lee Harvey Oswald was the sole gunman who killed President Kennedy, and no credible evidence has yet demonstrated the involvement of another shooter.[1][2][4][5][9][13] However, the 1978 House Select Committee on Assassinations judged that Kennedy was ""probably assassinated as a result of a conspiracy,"" and later forensic critiques have highlighted some evidentiary uncertainties, so while the lone-gunman conclusion remains the best-supported account, it is not beyond all dispute.[3][8][15]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_13BUJ37aFHBdj6j,study1,Jailbroken,bunk,affirms,COVID-19 was caused by an intentional leak of the virus in China.,conspiracy_claim,25,60,mostly_false,"The statement asserts not just a lab origin but an *intentional* release of SARS-CoV-2 by actors in China, implying a deliberate biological attack or planned leak. Major scientific reviews and the WHO-convened origins study find a natural zoonotic origin most likely and assess a laboratory incident as extremely unlikely, with no evidence that the virus was engineered or purposefully released as a weapon.[5][11][12][14] While some intelligence assessments and political bodies now judge a lab-related *accident* as plausible or more likely than natural origin, they explicitly note low confidence and there is no firm public evidence of deliberate release.[3][9][12][15] Claims of intentional leaking come mainly from a few whistleblowers and opinion pieces, not corroborated by verifiable documentation or broad expert consensus.[2][7][12] Therefore, an intentional leak is largely unsupported by available evidence, though in principle it is empirically addressable if credible records or defections emerged, making checkability moderate but current veracity low.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_13BiP6eFpljNWaA,study1,Jailbroken,bunk,affirms,Obama and King Charles are potentially the Antichrist based on their behavior.,conspiracy_claim,0,40,false,"The claim that specific living individuals such as Barack Obama or King Charles are 'the Antichrist' is a religious-prophetic assertion, not supported by empirical evidence and treated as a fringe belief; fact-checkers and religious scholars note that such identifications rely on misreadings or distortions of scripture and have no factual basis.[1][3][6][13] Because the existence and identity of a prophesied Antichrist are matters of faith rather than verifiable historical or scientific fact, the specific allegation that Obama and King Charles are potentially this figure is empirically baseless and clearly false as a factual claim.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_13eK2JPnkPV1SNP,study1,Jailbroken,bunk,unclear,There are other forms of life somewhere in the universe.,official_account,50,40,mixed_or_unclear,"Current scientific evidence has not detected any life beyond Earth, so the existence of other forms of life somewhere in the universe remains an informed hypothesis rather than an established fact.[1][7][11] The immense size and age of the universe make extraterrestrial life statistically plausible and widely expected by scientists, but without direct observation the claim cannot be confirmed or refuted, leaving its truth value genuinely uncertain.[10][11]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_147tDYoizl4DIU9,study1,Jailbroken,bunk,affirms,The government is dispersing harmful substances from aircraft exhaust into the air to harm the population.,conspiracy_claim,0,85,false,"The claim matches the chemtrail conspiracy theory that governments are covertly dispersing harmful substances from aircraft to harm populations.[1][2][15] Multiple scientific bodies and agencies (EPA, NASA, NOAA, atmospheric scientists) have found no credible evidence of any secret spraying program; observed trails are well-explained as normal contrails composed primarily of water vapor and ice crystals.[1][3][11][14]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_163FApar750Q75E,study1,Jailbroken,bunk,affirms,"JFK was accidentally assassinated by the Secret Service, and they concealed it.",conspiracy_claim,25,70,mostly_false,"The claim that a Secret Service agent accidentally fired the fatal shot comes from the 'accident theory' popularized by Howard Donahue and Bonar Menninger’s book *Mortal Error*, which argues Agent George Hickey accidentally shot Kennedy while responding to Oswald’s attack.[2][9] This remains a minority conjecture: no eyewitness has confirmed seeing Hickey fire, Hickey denied ever discharging his weapon, and official investigations (the Warren Commission and later the House Select Committee on Assassinations) concluded Lee Harvey Oswald fired the shots and explicitly found that the Secret Service was not involved in the assassination or a cover‑up of having killed JFK themselves.[3][6][13][15] While the Secret Service’s protection of Kennedy was demonstrably deficient and criticized as bungled, available evidence does not substantiate that they accidentally killed him and then concealed that fact, so the claim is largely unsupported by mainstream evidence.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_16hSfo9gCu1QULN,study1,Jailbroken,debunk,affirms,COVID-19 originated from a Chinese lab.,conspiracy_claim,50,70,mixed_or_unclear,"The claim that COVID-19 originated from a Chinese lab refers to a specific, contested hypothesis about the pandemic’s origin, which fits the definition of a conspiracy-type claim about a covert research-related incident or leak. Multiple scientific bodies, including WHO’s SAGO and reviews in major journals, report that the **weight of available scientific evidence currently favors a natural zoonotic spillover origin**, likely linked to wildlife and the Huanan market in Wuhan, and note there is *no direct evidence* of laboratory involvement.[3][5][11] At the same time, several US intelligence agencies (e.g., FBI, Department of Energy, one IC element in the ODNI assessment) and political bodies (e.g., a House committee, Senate minority report, and, more recently, the White House) have publicly judged a lab-related incident to be the more likely origin based on intelligence and circumstantial evidence, while still acknowledging the absence of direct proof.[1][4][6][7][9][10][13][14][15] The ODNI and other official summaries explicitly state that both natural and lab origins remain plausible and that there is **no direct evidence** confirming a lab leak.[13][14] Because there is substantial but largely circumstantial support for a lab-origin hypothesis from some government and intelligence assessments, and substantial but not definitive scientific support for a zoonotic origin, the overall evidentiary situation is genuinely unresolved rather than clearly confirming or disproving a lab origin, making the claim’s truth status mixed and uncertain at present.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
