"cluster_id","gemini_label"
2,"Staged Trump assassination attempt"
3,"Moon Landing Hoax"
6,"AI Takeover and Dead Internet"
7,"Trump as Russian Asset"
8,"Existence of Bigfoot"
9,"Election fraud conspiracy beliefs"
11,"Jeffrey Epstein Death Conspiracies"
12,"Secret Elite World Control"
13,"JFK Assassination Conspiracy"
14,"Celebrity death and replacement conspiracies"
16,"9/11 Inside Job Conspiracy"
18,"Hiding medical cures for profit"
19,"Chemtrail Conspiracy Beliefs"
20,"Vaccine harms and conspiracies"
21,"Deliberate COVID-19 Lab Release"
24,"Area 51 Alien Cover-up"
25,"Government alien cover-up"
26,"Existence of Alien Life"
