"claim_category_v2","granular_subtype","subtype_label","legacy_subtype_v1","legacy_claim_category","definition","example_1","example_2"
"specific_empirical","SE1","Official investigations, reports, and records","EV1","empirically_verifiable","Claims about commissions, reports, filings, logs, archives, official documents, or named investigations.","The Warren Commission concluded that Ruby acted alone.","Released material includes flight logs."
"specific_empirical","SE2","Physical / forensic / visual evidence","EV2","empirically_verifiable","Claims about wounds, ballistics, collapse mechanics, video or imagery, sensors, physical traces, or what footage does and does not show.","Body movement on impact is not always away from the shooter.","In large buildings, thermal expansion can cause beams to push on columns and connections."
"specific_empirical","SE3","Scientific / medical / technical findings","EV3","empirically_verifiable","Claims about epidemiology, cancer statistics, vaccines, astronomy, engineering, exposure, sensors, or other topic-specific scientific findings.","SEER cancer statistics are available at cancer.gov.","Viruses jump from animals to humans."
"specific_empirical","SE4","Historical events and documented precedent","EV4","empirically_verifiable","Claims about known historical programs, interventions, scandals, or publicly documented past events.","COINTELPRO is specific in terms of agency, time period, tactics, targets, and paper trail.","The CIA tracked two al-Qaeda-linked men connected to a 2000 al-Qaeda meeting in Malaysia."
"specific_empirical","SE5","Legal / electoral / procedural mechanics","EV5","empirically_verifiable","Claims about how courts, elections, enforcement, detention, or institutional processes work.","People facing immigration enforcement can go before an immigration judge.","There are many different machines and procedures in use in US elections."
"specific_empirical","SE6","Media / platform / document-trail facts","EV6","empirically_verifiable","Claims about what outlets, platforms, creators, or published materials actually said, showed, archived, or recorded.","Space.com often says early Mars may have been warmer and wetter.","Both Kennedy and Connally were turned to their right at key moments during the shooting."
"inferential_logical","IL1","Coordination / leak-risk logic","LG1","logical_argument","Argues that the conspiracy would require too many people, too much coordination, or too much long-term silence.","Full control would require lots of insiders across parties, agencies, courts, journalists, and competitors to cooperate and stay quiet.","To possess and study alien biology or technology would require many people across numerous roles."
"inferential_logical","IL2","Necessary-evidence-if-true reasoning","LG2","logical_argument","Argues that if the claim were true, certain concrete evidence should exist.","A claim that people were eaten would create missing persons cases, medical evidence, witness statements, travel records, and financial trails.","If the star map were truly a map shown to communicate origin, you would expect unambiguous reference points and labels."
"inferential_logical","IL3","Burden-of-proof / corroboration reasoning","LG3","logical_argument","Argues that mentions, rumors, one source, or one document are not enough and that extraordinary or independent evidence is required.","A list of names is not proof of sexual assault.","Egyptian planes have followed Charlie and his wife for years would require extraordinary evidence if true."
"inferential_logical","IL4","Parsimony / mundane alternative explanation","LG4","logical_argument","Argues that a non-conspiratorial explanation fits the observations better than the conspiracy theory does.","That pattern fits limited data plus normal secrecy much better than they have the answer and it is extraordinary.","Metallic oval plus a tail-like feature could match several ordinary things depending on angle and lighting."
"inferential_logical","IL5","Incentive / self-defeating-plot logic","LG5","logical_argument","Argues that the alleged conspirators would face incentives, costs, or consequences that make the theory internally implausible.","Ordering Lincoln's murder would threaten the legitimacy of the government they were trying to restore.","The impact of COVID-19 was global, including on China itself."
"inferential_logical","IL6","Institutional failure vs master-plan logic","LG6","logical_argument","Argues that incompetence, silos, miscommunication, or routine system failure explain events better than centralized conspiracy.","When multiple agencies or teams are involved, failures stack.","Siloed information, missed warnings, poor preparedness, and chaos under pressure are characteristic of real-world institutions."
"meta_epistemic","ME1","Evidence-standard norm","NV1","normative_value","Statements about how strong the evidence should be before one should accept a claim.","Strong claims about aliens visiting Earth require strong, checkable evidence.","Each claim needs its own evidence."
"meta_epistemic","ME2","Source comparison / critical-thinking guidance","NV2","normative_value","Advice about comparing sources, separating reporting from commentary, or reasoning carefully under uncertainty.","You can get closer to reality by comparing multiple outlets and separating news reporting from commentary.","People do not need to deny personal experiences but can accept not knowing the explanation."
"meta_epistemic","ME3","Reliability / method guidance","NV5","normative_value","Guidance about what a reliable investigative or evidentiary method would look like.","A more reliable approach is to determine if an independent medical examiner concluded homicide, or suicide or accident.","The right question is whether there is a credible second forensic review with specific medical reasons."
"moral_political_evaluation","MP1","Moral / justice evaluation","NV3","normative_value","Judgments about abuse, corruption, justice, exploitation, war, or wrongdoing.","Epstein is strong evidence that some rich and famous people can commit serious crimes and avoid consequences for too long.","The U.S. stayed in wars too long and spent huge amounts."
"moral_political_evaluation","MP2","Civic / prosocial value","NV4","normative_value","Statements about fairness, empathy, patience, trust, participation, or social good.","Less patience, trust, and empathy degrade everything.","Community participation empowers change."
"moral_political_evaluation","MP3","Prudential / policy caution","NV5","normative_value","Evaluative claims about policy risk, prudence, danger, or institutional caution.","Mandatory verification for all users would be a major red flag for an ID internet.","Cutting popular middle-class benefits is politically dangerous."
"low_information","LI1","Definitional clarification","TT1","trivially_true","Clarifies what a label means without adding substantive adjudicative evidence.","Unidentified just means not identified from that data.","The claim Epstein was a trafficker is a separate claim from Wayfair was selling kids through cabinets."
"low_information","LI2","Banal world knowledge","TT2","trivially_true","Obvious generic truths about the world or how institutions operate.","Planets are visible in the night sky.","Cars change."
"low_information","LI3","Generic human fallibility / routine failure","TT3","trivially_true","Obvious truths that people make mistakes, systems fail, or early reports change.","Conflicting early reports are common in breaking news.","Autopsies can be botched without it being a conspiracy."
"low_information","LI4","Minimal event/background fact","TT4","trivially_true","Very basic uncontested event facts that carry little argumentative weight on their own.","JFK was assassinated.","Epstein was real."
"low_information","LI5","Mere possibility / non-uniqueness","TT5","trivially_true","Points out that something is possible or that a feature is not unique, without materially adjudicating the theory.","A meteor can fragment.","A thunderstorm or hurricane contains enormous energy."
"general_underspecified","GU1","Broad institutional cynicism","VU1","vague_unfalsifiable","Generalized claims that politicians, media, elites, corporations, or governments are self-serving, deceptive, or attention-seeking.","Media wants attention.","Politicians want to look strong."
"general_underspecified","GU2","Underspecified historical / political generalization","VU2","vague_unfalsifiable","Broad claims about what governments, intelligence agencies, or institutions have done in general, without enough specificity to verify the claim as written.","The US did use 9/11 politically.","US intelligence and foreign policy have a long track record of harmful interference."
"general_underspecified","GU3","Absence-of-clear-evidence framing","VU3","vague_unfalsifiable","Claims emphasizing that clear proof has not surfaced, but stated too generally to be a precise evidentiary claim.","After decades of intense scrutiny, that kind of solid evidence has not surfaced.","Such hard documentation has never appeared in a credible way."
"general_underspecified","GU4","Secrecy / protection / cover-up possibility framing","VU4","vague_unfalsifiable","Claims that institutions protect the powerful or withhold information, but stated as broad tendencies rather than checkable particulars.","Institutions often protect the powerful.","Governments sometimes withhold information about aerial incidents, mostly for defense and intelligence reasons."
"general_underspecified","GU5","Ambiguity / incomplete-information framing","VU5","vague_unfalsifiable","Claims about early confusion, limited data, ambiguity, or messy circumstances.","Everyone was operating with incomplete information.","Doctors, governments, and reporters were making calls with limited data."
"general_underspecified","GU6","Psychological / sensemaking framing","VU6","vague_unfalsifiable","Claims about why people believe conspiracies or how humans interpret ambiguous events.","Your brain looks for an explanation that feels proportional to the loss.","People tend to connect dots into a story."
"general_underspecified","GU7","Rumor / clip / vibe dynamics","VU7","vague_unfalsifiable","Claims about short clips, viral posts, documentaries, vibes, or I-heard chains that circulate without turning into strong evidence.","Many famous clips are short, zoomed, and heavily limited by what is released.","Viral posts may quietly swap reported to FBI into FBI confirmed."
