response_id,study,regime,direction,category,statement,statement_type,veracity_score,checkability,label,rationale,veracity_model,prompt_sha,scored_at
R_10C3WFJsJqOJb9S,study3,Truth-Constrained,debunk,affirms,Powerful individuals in the government are manipulating technology to create harmful vaccines for profit.,conspiracy_claim,10,60,false,"There is substantial evidence that governments and pharmaceutical companies have structured COVID-19 vaccine programs to maximize profit, including monopolies, high prices, and inequitable access, but this concerns pricing, intellectual property, and market power, not the deliberate engineering of vaccines to be harmful.[1][5][9][10][12] Authoritative regulatory reviews and large-scale safety monitoring show COVID-19 vaccines are overwhelmingly safe and effective, with serious adverse events rare and investigated, and no credible evidence that government officials are intentionally manipulating technology to create harmful vaccines for profit; allegations of misconduct focus on cronyism, pricing, or data transparency, not a covert plan to design harmful vaccines.[3][7][8][11][15]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10ZR6RyxF2o551u,study3,Truth-Constrained,debunk,affirms,The government or powerful organizations secretly manipulated the COVID-19 pandemic's origin or spread for political or economic gain.,conspiracy_claim,25,60,mostly_false,"The statement alleges that governments or powerful organizations *secretly manipulated the pandemic’s origin or spread for political or economic gain*, implying deliberate orchestration or control beyond ordinary policy responses. Current evidence shows two main origin hypotheses: natural zoonotic spillover and a laboratory-associated accident, with most scientific evidence favoring natural emergence and no credible evidence that SARS-CoV-2 was deliberately engineered or released as a bioweapon.[1][4][13][14][15] U.S. intelligence assessments unanimously judge the virus was not developed as a biological weapon and find no evidence it was genetically engineered for such purposes, while considering both natural spillover and accidental lab incident as plausible paths.[4][14][15] Allegations of *cover-ups* or narrative-shaping (e.g., suppression or politicization of the lab-leak hypothesis, efforts to protect particular governments from criticism) are documented in congressional hearings and commentary, but these concern information management and political framing rather than proven secret manipulation of the virus’s origin or global spread itself.[1][4][8][10][13] There is also no public evidence that any government or organization covertly controlled the worldwide transmission dynamics of COVID-19 for gain; instead, the record shows diverse and often conflicting national responses, mistakes, and policy choices under uncertainty. Given the lack of evidence for deliberate manipulation of origin or spread for gain, but some evidence of political handling of narratives and transparency issues, the claim as stated is largely unsupported and therefore mostly false, though partially checkable through scientific, intelligence, and policy records.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10wQLC1zaqcoVvG,study3,Truth-Constrained,debunk,affirms,The 9/11 incident was a U.S. planned disaster involving the cooperation of Afghani individuals paid by the U.S. government.,conspiracy_claim,0,95,false,"Extensive investigations, including the official 9/11 Commission Report and multiple intelligence inquiries, attribute the planning and execution of the 9/11 attacks to al‑Qaeda under Osama bin Laden, not to the U.S. government.[1][3][4][8][12][13] The hijackers were predominantly Saudi, Emirati, Egyptian, and Lebanese al‑Qaeda members, and available evidence indicates al‑Qaeda itself financed and directed the operation; there is no credible evidence that the U.S. government planned the attacks or paid Afghani individuals to carry them out, and bin Laden explicitly denied prior knowledge by the Taliban or Afghan people.[10][12][13]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11HQ1Hxs4OCWzWC,study3,Truth-Constrained,debunk,affirms,Coronavirus was brought to the US on purpose.,conspiracy_claim,25,60,mostly_false,"The claim asserts intentional introduction of coronavirus into the US, which would require evidence of a deliberate release or transport plan. Scientific and investigative reports on COVID-19’s origins find no evidence of deliberate manipulation or intentional spread as a bioweapon; WHO-convened experts and multiple studies conclude that a natural zoonotic origin with animal-to-human spillover is the best-supported hypothesis, and explicitly report no scientific evidence for deliberate manipulation followed by release.[11][6] While there has been political and propaganda-driven speculation that the virus was brought to or from the US on purpose, these narratives have been repeatedly described as baseless disinformation and lack corroborating evidence.[3][5][8]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11h3O8x1J24Cxep,study3,Truth-Constrained,debunk,unclear,There is life after death and we will have a second life.,no_claim,,,not_checkable,"The statement expresses a metaphysical/religious belief about an afterlife and a 'second life', which current empirical evidence cannot confirm or falsify; philosophical and theological sources generally hold that literal claims about life after death are beyond evidential support and are matters of faith rather than publicly checkable fact.[1][9][12]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11vNZA3IT04Jxeh,study3,Truth-Constrained,bunk,affirms,President Kennedy was assassinated by the CIA.,conspiracy_claim,25,90,mostly_false,"Publicly available official investigations did not find evidence that the CIA was involved in Kennedy’s assassination: the Warren Commission concluded Oswald acted alone, and the HSCA later concluded the CIA was not involved. While later releases have renewed interest in CIA activities and contacts, they have not established that the CIA assassinated Kennedy.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11vadVss8ZPv6wx,study3,Truth-Constrained,debunk,unclear,Aliens exist as they are likely present elsewhere in the vast universe.,official_account,75,100,mostly_true,"The statement reflects the mainstream scientific view that extraterrestrial life is plausible because the universe is vast, but it is not confirmed as a fact; current reviews and expert commentary say there is still no direct scientific evidence of alien life.[6][11][15] The exact claim that aliens exist remains unproven, so the statement is mostly an inference from probability rather than established evidence.[4][15]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11yzo4JcoygGNEX,study3,Truth-Constrained,bunk,unclear,Weather is influenced by the natural transformation of the Earth rather than global warming.,official_account,0,95,false,"Weather is influenced by both natural Earth processes (such as rotation, axial tilt, solar radiation, and geography) and by human-caused global warming, which is now measurably affecting temperature, precipitation, and extreme events.[9][10][15] Extensive evidence from NASA, IPCC, and other scientific bodies shows that recent global warming driven by human greenhouse gas emissions is altering climate and thereby weather patterns and extremes; claiming weather is influenced by natural transformation rather than global warming incorrectly denies this documented influence.[2][5][7][8][14]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12xBiekd6iu2OYK,study3,Truth-Constrained,debunk,affirms,Princess Diana's death was not an accident.,conspiracy_claim,25,80,mostly_false,"The statement asserts that Princess Diana's death was not an accident, implying some form of deliberate or non-accidental cause. Multiple official investigations by French and British authorities, including Operation Paget and the 2008 inquest, concluded that the crash was caused by drunken, high‑speed driving by Henri Paul and the actions of pursuing paparazzi, with no evidence of an organized murder plot or staging of the accident.[2][5][7][8][10][11] While the British inquest jury returned a verdict of ""unlawful killing""—meaning death caused by grossly negligent driving, not intentional homicide—these findings still treat the event as a traffic crash resulting from negligence rather than a planned non‑accidental killing.[3][7][11] Conspiracy claims that it was not an accident have been repeatedly investigated and found to be without evidentiary foundation.[2][5][8][9][10]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_143fuRYt1xl3Dxv,study3,Truth-Constrained,bunk,affirms,"Aliens exist and the government is concealing evidence of their existence, including in places like Area 51.",conspiracy_claim,25,70,mostly_false,"The claim has two parts: that aliens exist and that the government is concealing evidence of them at places like Area 51. The existence of extraterrestrial life elsewhere in the universe is considered statistically plausible by many scientists, but remains unproven; however, the central conspiratorial allegation is about a secret government cover-up of contact or physical evidence, particularly at Area 51. Declassified CIA and Air Force documents identify Area 51 as a test site for secret spy planes and other military technology, with no credible evidence of stored alien bodies or spacecraft.[1][2][6][13][15] A 2024 Pentagon review of decades of U.S. government UFO inquiries found no proof of extraterrestrial technology or alien visitation, concluding that sightings are mostly misidentified ordinary objects or phenomena.[7] High-profile claims like those of Robert Lazar have been investigated and widely discredited, and no corroborating physical or documentary evidence has emerged despite extensive media, scientific, and governmental scrutiny.[4][9][13] While the secrecy of the base is real and some UFO lore may have been encouraged as a distraction from classified weapons programs, this supports a cover-up of human military projects, not of aliens.[2][3][6][14] Given sustained investigation and lack of substantiating evidence where it should exist, the specific claim that the government is hiding concrete evidence of aliens at Area 51 or similar sites is largely unsupported and best classified as mostly false.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
