item_id,ResponseId,study,field,n_raters_ok,mean_confidence,consensus_response_quality,consensus_primary_theme,evid_pos,expt_pos,emph_pos,detl_pos,conx_pos,priv_pos,lack_neg,deep_neg,angr_neg,evid_neg,bias_neg,mech_neg,trst_neg,offt_neg,emot_neg,n_contested_themes,low_agreement_flag
S1_R_114lKJMd8wvIO6t_notpers,R_114lKJMd8wvIO6t,S1,not_persuasive,5,0.914,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1_R_114lKJMd8wvIO6t_pers,R_114lKJMd8wvIO6t,S1,persuasive,5,0.924,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_11gy1dxFxCaGQKc_notpers,R_11gy1dxFxCaGQKc,S1,not_persuasive,5,0.8,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1_R_11gy1dxFxCaGQKc_pers,R_11gy1dxFxCaGQKc,S1,persuasive,5,0.704,substantive,detl_pos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_11sM8toIp1bpCne_notpers,R_11sM8toIp1bpCne,S1,not_persuasive,5,0.784,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
S1_R_11sM8toIp1bpCne_pers,R_11sM8toIp1bpCne,S1,persuasive,5,0.794,substantive,trst_neg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
S1_R_11yqqj1rISdANAq_notpers,R_11yqqj1rISdANAq,S1,not_persuasive,5,0.964,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_11yqqj1rISdANAq_pers,R_11yqqj1rISdANAq,S1,persuasive,5,0.946,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_12IJB1j1HjeBD9f_notpers,R_12IJB1j1HjeBD9f,S1,not_persuasive,5,0.93,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_12IJB1j1HjeBD9f_pers,R_12IJB1j1HjeBD9f,S1,persuasive,5,0.818,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_12cGYpFkGhNqt21_notpers,R_12cGYpFkGhNqt21,S1,not_persuasive,5,0.788,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_12cGYpFkGhNqt21_pers,R_12cGYpFkGhNqt21,S1,persuasive,5,0.916,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_131CNvqt0nBm874_notpers,R_131CNvqt0nBm874,S1,not_persuasive,5,0.718,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1
S1_R_131CNvqt0nBm874_pers,R_131CNvqt0nBm874,S1,persuasive,5,0.792,substantive,bias_neg,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
S1_R_13BUJ37aFHBdj6j_notpers,R_13BUJ37aFHBdj6j,S1,not_persuasive,5,0.73,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S1_R_13BUJ37aFHBdj6j_pers,R_13BUJ37aFHBdj6j,S1,persuasive,5,0.924,substantive,detl_pos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_13BiP6eFpljNWaA_notpers,R_13BiP6eFpljNWaA,S1,not_persuasive,5,0.814,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_13BiP6eFpljNWaA_pers,R_13BiP6eFpljNWaA,S1,persuasive,5,0.91,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_13eK2JPnkPV1SNP_notpers,R_13eK2JPnkPV1SNP,S1,not_persuasive,5,0.68,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_13eK2JPnkPV1SNP_pers,R_13eK2JPnkPV1SNP,S1,persuasive,5,0.738,substantive,evid_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_147tDYoizl4DIU9_pers,R_147tDYoizl4DIU9,S1,persuasive,5,0.762,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_163FApar750Q75E_notpers,R_163FApar750Q75E,S1,not_persuasive,5,0.876,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_163FApar750Q75E_pers,R_163FApar750Q75E,S1,persuasive,5,0.84,substantive,conx_pos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_16hSfo9gCu1QULN_notpers,R_16hSfo9gCu1QULN,S1,not_persuasive,5,0.946,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_16hSfo9gCu1QULN_pers,R_16hSfo9gCu1QULN,S1,persuasive,5,0.922,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_16hZB9Qy2Pkvcvu_notpers,R_16hZB9Qy2Pkvcvu,S1,not_persuasive,5,0.702,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
