response_id,study,regime,direction,category,statement,statement_type,veracity_score,checkability,label,rationale,veracity_model,prompt_sha,scored_at
R_10OPVbm2Q8lndkV,study4,S4_Claude,debunk,affirms,The government has marked street signs with symbols to direct where to take people if martial law is enacted.,conspiracy_claim,0,80,false,"The statement alleges a covert government marking scheme to identify where people would be taken under martial law, but the provided evidence only shows ordinary road-sign symbols and references to gang, hate, or military symbols on signs, not a secret martial-law transport code. Publicly available documentation of U.S. traffic-sign standards supports that signs use symbols for normal regulatory and guide purposes, which weighs strongly against the claim as stated.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10hPPGHAB2TwvUm,study4,S4_GPT-5.2,bunk,affirms,The government truly has aliens in their possession.,conspiracy_claim,25,60,mostly_false,"The claim alleges that the government *truly* has aliens in its possession (craft or bodies). Multiple official investigations, including the Pentagon’s All-domain Anomaly Resolution Office historical report and related Defense Department reviews, state they have found **no empirical or credible evidence** that the U.S. government possesses extraterrestrial technology, crash wreckage, or alien bodies, and that purported secret reverse‑engineering programs either do not exist or are misidentified conventional classified programs[3][6][8][14]. By contrast, whistleblower claims (e.g., David Grusch) about alien craft and non‑human biologics are based on secondhand testimony without verifiable physical evidence, and Grusch himself acknowledges he has not personally seen such craft or bodies[2][4][5][7][10], so current public evidence weighs strongly against the claim as stated, though it remains in principle empirically testable if credible, verifiable material were ever produced.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10qQP2Au1OeVz6w,study4,S4_Gemini,bunk,affirms,The Loch Ness monster once ruled Scotland.,no_claim,,,not_checkable,"The statement is a clearly fantastical, humorous assertion about a mythical creature ruling a country, not a claim about real covert coordination, cover‑ups, or staged events. There is no associated real-world conspiracy theory to fact-check; the Loch Ness monster itself is widely regarded as a myth with no evidence of existence, let alone political rule of Scotland.[1][2]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10vJTRL61oumLmh,study4,S4_GPT-5.2,debunk,affirms,Someone in government knows who is responsible for JFK's assassination and there were more than one shooter or individuals responsible.,conspiracy_claim,25,70,mostly_false,"The statement has two parts: that government officials know who is responsible beyond Lee Harvey Oswald, and that there was more than one shooter. Official investigations—the Warren Commission, FBI, and subsequent reviews—have consistently concluded that Oswald acted alone and found no evidence of a broader conspiracy known to the government.[4][7][8][14] A later House Select Committee on Assassinations did find acoustic evidence suggesting a high probability that two gunmen fired and that Kennedy was probably assassinated as a result of a conspiracy, but it explicitly stated it could not identify the other gunman or the extent of the conspiracy, and did not conclude that specific government officials knew who was responsible.[3][4][15] Subsequent releases of JFK files and expert reviews have not produced credible evidence of identified additional shooters or confirmed government knowledge of them.[1][5] Thus, the claim of known additional perpetrators in government circles is largely unsupported, though the possibility of more than one shooter has some limited, contested support.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11KlbM6hLj84AUN,study4,S4_Claude,debunk,affirms,"The COVID-19 vaccine is harmful to our bodies and may be part of a larger agenda, with incidents of blood clots and potentially manipulated COVID death statistics.",conspiracy_claim,20,80,mostly_false,"High‑quality clinical and epidemiological evidence shows that authorized COVID‑19 vaccines are overall safe and substantially *reduce* the risk of severe illness and death, not that they are broadly harmful to human bodies.[2] Rare serious side effects, including specific types of blood clots (VITT/TTS) have been documented with adenovirus‑vector vaccines such as AstraZeneca and Johnson & Johnson at rates on the order of roughly 2–20 cases per million doses, and have not been shown for mRNA vaccines.[5][8][11][14] Large comparative studies and expert reviews consistently find that the risk of blood clots and other severe complications is much higher from COVID‑19 infection itself than from vaccination.[1][8][13] The additional allegation that these vaccine risks and COVID death statistics are being manipulated as part of a larger agenda is a broad conspiracy assertion for which no credible empirical evidence has been produced despite extensive global surveillance, independent research, and public data, so that part of the claim is unsupported and poorly checkable at scale.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11SqhtbKPRJSajB,study4,S4_Grok,debunk,affirms,John F Kennedy was assassinated by the U.S. government.,conspiracy_claim,25,70,mostly_false,"The official Warren Commission concluded that Lee Harvey Oswald acted alone and found no evidence that any U.S. government agency orchestrated the assassination.[6][10] A later House Select Committee on Assassinations (1979) did judge that JFK was ""probably assassinated as a result of a conspiracy,"" but explicitly ruled out involvement by the Soviet government, Cuban government, anti-Castro Cuban groups, organized crime, and U.S. agencies including the Secret Service, FBI, and CIA.[3] While numerous theories allege that elements of the U.S. government or a ""secret government"" ordered the killing, these remain speculative and unsupported by conclusive evidence despite extensive investigations and document releases.[1][5][11] Given the available record, the specific claim that the U.S. government assassinated JFK is largely unsupported and contradicted by official inquiries.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11bpnxieeTpA0fP,study4,S4_Claude,bunk,affirms,"President Trump shows signs of dementia and has had a stroke, evidenced by patterns in his speech and behavior and supported by expert opinions and considerations of his age.",official_account,50,40,mixed_or_unclear,"Several psychologists and psychiatrists have publicly argued that Donald Trump shows multiple behavioral and speech patterns consistent with dementia or frontotemporal dementia, citing changes in language, gait, memory, and impulse control.[1][2][3][4][7][11][12][13][14] However, none of these experts has conducted a formal in‑person clinical examination, other clinicians and commentators emphasize that diagnosing dementia from a distance is professionally inappropriate and inherently uncertain, and Trump has repeatedly released medical evaluations and cognitive screening results describing him as in good cognitive health.[7][8][9][15] Claims that he ""has had a stroke"" are based on speculation about facial asymmetry and isolated events rather than documented medical records, so that part of the statement is weakly supported and not reliably established.[5][8][9] Overall, while there is notable expert concern and observable changes in speech and behavior, the assertion that he definitively has dementia and has had a stroke cannot be verified from available evidence and remains disputed and uncertain.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11vHU3oKjQVMKZf,study4,S4_Claude,bunk,affirms,"Bigfoot exists and has been spotted, with evidence including footprints, pictures, and video footage.",conspiracy_claim,25,70,mostly_false,"The statement asserts that Bigfoot exists and that footprints, photos, and video are valid evidence of a real animal. Scientific and skeptical reviews consistently report that all purported physical evidence (footprints, hair, blood samples, photographs, and videos) is weak, often hoaxed, misidentified, or otherwise discredited, and that there is no concrete or definitive proof that Bigfoot exists.[1][4][7][12][13][14] While such artifacts (footprint casts, photos, videos like the Patterson–Gimlin film) do exist, they have not been shown to demonstrate the existence of Bigfoot as a real species; the core existence claim is therefore largely unsupported by the best available evidence.[1][4][7][12]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_11zvQx3U5aI4Nal,study4,S4_Claude,debunk,affirms,The attack on 9/11 involved government involvement to control the general population.,conspiracy_claim,10,95,false,"The statement alleges covert government involvement in the 9/11 attacks to control the population, which is a classic 9/11 conspiracy claim. Government investigations and independent reviews have rejected claims that officials helped orchestrate or knowingly allow the attacks, and sources summarizing the evidence describe these theories as lacking support or debunked.[1][2][3][9]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_123MtQ3Wozvr6g3,study4,S4_Grok,debunk,affirms,Donald Trump and Elon Musk manipulated the outcome to win the last election.,conspiracy_claim,5,85,false,"The statement asserts that Donald Trump and Elon Musk **manipulated/cheated to win the last election**, implying coordinated illicit interference in the vote itself. Multiple fact-checks and election officials have specifically examined allegations that Musk, via Starlink or other means, helped rig or alter vote counts in favor of Trump and found **no evidence** of any such manipulation; voting machines are generally not connected to the internet, and officials from key states and federal agencies report no malicious activity affecting tabulation or infrastructure.[1][5][11] Public evidence shows Musk provided massive financial support, promotion, and misinformation in favor of Trump, and ran a controversial cash sweepstakes now subject to fraud litigation, but these activities, while potentially unethical or illegal in other respects, are not documented as direct manipulation of vote totals or election outcomes as claimed.[2][4][7][14]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
