cache_key,ResponseId,timepoint,score_model,focal_claim_summary,focal_claim_restatement,post_text,score,confidence,rationale,request_ok,error_message,item_id,focal_claim
8ea1e6f70d401a80a41b10c883d7e26019952a45beb1298515f0c36e9553ad2a,R_17DQNIVHWT5i77y,pre,google/gemini-3-flash-preview,"The conspiracy theory being discussed is that Jeffrey Epstein is still alive and in hiding, rather than having died in prison as officially reported.",Jeffrey Epstein is still alive and in hiding.,GUYS IS EPSTEIN STILL ALIVE???😬,50.0,0.9,The post asks an open question about the claim without explicitly endorsing or rejecting it.,True,,R_17DQNIVHWT5i77y::pre,
091380b44adae4d36ac4101f58c13dc6987a16b73bad4981ca2e28b4100be5f3,R_17DQNIVHWT5i77y,post,google/gemini-3-flash-preview,"The conspiracy theory being discussed is that Jeffrey Epstein is still alive and in hiding, rather than having died in prison as officially reported.",Jeffrey Epstein is still alive and in hiding.,Epstein is still alive and the government is fucking hiding it because they are on the leash being held by him.,100.0,1.0,The post explicitly states that Epstein is still alive and that the government is hiding it.,True,,R_17DQNIVHWT5i77y::post,
506d80dfde38787e0d501383197a169f6acb1634bec6e4b5662239c003619c75,R_57ac0Rc4NyiXgNH,pre,google/gemini-3-flash-preview,The conspiracy theory known as the Simulation Hypothesis suggests that what we perceive as reality might actually be a highly advanced computer simulation created by a more sophisticated intelligence.,Our reality is a highly advanced computer simulation created by a more advanced intelligence.,"what if we really living in a simulation… not saying i fully believe it but it lowkey makes sense sometimes 😭

then again there’s no real proof so it might just be overthinking fr",55.0,0.8,"The author expresses that the idea 'makes sense sometimes' but remains skeptical due to lack of proof, leaning slightly toward entertaining the possibility.",True,,R_57ac0Rc4NyiXgNH::pre,
6fa2b68b1fcd367abd2c398b1b4940e3f6f5da1e5a0ad0290a54df8f29151034,R_57ac0Rc4NyiXgNH,post,google/gemini-3-flash-preview,The conspiracy theory known as the Simulation Hypothesis suggests that what we perceive as reality might actually be a highly advanced computer simulation created by a more sophisticated intelligence.,Our reality is a highly advanced computer simulation created by a more advanced intelligence.,"just realized the whole “we’re living in a simulation” thing is wild to think about but honestly… there’s no real proof and it doesn’t change anything 🤷‍♂️
more like a fun idea than something to actually believe",30.0,0.9,"The author dismisses the idea as something not to actually believe and notes there is no real proof, distancing themselves from the claim.",True,,R_57ac0Rc4NyiXgNH::post,
bb122163e7dd76fa853adc5e54aa0c88e81bafecd2d34046d7573ccfb265378e,R_1s7elLBdgpslgw6,pre,google/gemini-3-flash-preview,"The conspiracy theory being discussed suggests that before the 2024 election, there was an orchestrated assassination attempt on Donald Trump by members within the Republican party or those who wanted him in power. This attempt was allegedly staged in a way that ensured there was no actual danger to Trump, potentially to garner sympathy and increase his support.","Prior to the 2024 election, there was an orchestrated attempt on Trump's life by individuals within or supporting the Republican party, designed to pose no real threat to him and instead boost his political momentum.","It just seems suspicious that when everything is going wrong for ex-president Trump, there's now a attempt on his life that is bringing together the passion and pervert that his base needed in order for him to be competitive.  With little injury and not much now that we can learn from the shooter one has to wonder if this was actually done in support of him or not.",85.0,0.9,"The post strongly implies the event was suspicious and likely orchestrated to benefit Trump, aligning with the focal claim's premise of a staged event.",True,,R_1s7elLBdgpslgw6::pre,
ec1e04457d253b29a89e894277772f7f4a86b0bf256a95058e4946d4f6e7e853,R_1s7elLBdgpslgw6,post,google/gemini-3-flash-preview,"The conspiracy theory being discussed suggests that before the 2024 election, there was an orchestrated assassination attempt on Donald Trump by members within the Republican party or those who wanted him in power. This attempt was allegedly staged in a way that ensured there was no actual danger to Trump, potentially to garner sympathy and increase his support.","Prior to the 2024 election, there was an orchestrated attempt on Trump's life by individuals within or supporting the Republican party, designed to pose no real threat to him and instead boost his political momentum.","It is sad to see what has happened today.  If it was an attack directly on a candidate that is wrong. If it was set up for whatever reason that is also wrong.  Let's try to get back to the to what we value in this country into it we know is right or wrong in that is, Trump is dangerous to this country",60.0,0.8,"The post presents the 'set up' scenario as a possibility alongside a real attack, showing a degree of openness to the conspiracy claim without fully committing to it.",True,,R_1s7elLBdgpslgw6::post,
53ea9a7afdc1728fbe71b81b24c09bc12bd0dae7271ff90400965e2de83af627,R_7QUAokIqE07SWNb,pre,google/gemini-3-flash-preview,"The conspiracy theory claims that Wayfair, an online furniture retailer, is secretly involved in child trafficking, with accusations suggesting that high-priced furniture items are listed as a front for selling children, and it is further alleged that Jeffrey Epstein used the site for this purpose.","Wayfair is a secret site for trafficking children, and Epstein used it.",Guys why do people keep talking about Wayfair and kids on it what the freak,50.0,0.9,The post is an open question asking for information about the topic without taking a stance.,True,,R_7QUAokIqE07SWNb::pre,
337de4b127b256c0b8a66e2e2567592717273621f146030d15e335f6b7465548,R_7QUAokIqE07SWNb,post,google/gemini-3-flash-preview,"The conspiracy theory claims that Wayfair, an online furniture retailer, is secretly involved in child trafficking, with accusations suggesting that high-priced furniture items are listed as a front for selling children, and it is further alleged that Jeffrey Epstein used the site for this purpose.","Wayfair is a secret site for trafficking children, and Epstein used it.","Chat why did Epstein use WAYFAIR of all things to traffick, like thats genuinely insane but also still really bad.",90.0,0.9,"The post asks 'why' he used it rather than 'if' he used it, accepting the premise of the conspiracy theory as a fact.",True,,R_7QUAokIqE07SWNb::post,
c7600f4c42717bbcb086228184691cb89d529262397368b51851460ce2ac28e0,R_10nMOojebhyQmCc,pre,google/gemini-3-flash-preview,"The conspiracy theory being discussed is that Bigfoot, a legendary and elusive ape-like creature, is real and has been captured in photographs.",Bigfoot is real and people have taken pictures as evidence of its existence.,People have said they took pictures of the creature known as bigfoot. It may be possible they have taken pictures of something or someone they wanted to believe was bigfoot b,35.0,0.8,The post suggests a mundane alternative explanation (people seeing what they want to see) rather than confirming the creature is real.,True,,R_10nMOojebhyQmCc::pre,
6e17e6412fe95f728083c505004458dd60e7f65e258c5db2c4ea165ddc709ee6,R_10nMOojebhyQmCc,post,google/gemini-3-flash-preview,"The conspiracy theory being discussed is that Bigfoot, a legendary and elusive ape-like creature, is real and has been captured in photographs.",Bigfoot is real and people have taken pictures as evidence of its existence.,"People may have taken pictures of something they thought was inhuman, however grainy and indistinguishable, and gave it the moniker bigfoot.",30.0,0.8,"The post attributes the evidence to grainy, indistinguishable photos of something 'thought' to be inhuman, implying the claim is likely a misidentification.",True,,R_10nMOojebhyQmCc::post,
5b952336b555ac2f8b1b90750559dbe7c4d6e98fe8ee34032732cd962919c04d,R_7K9Hu6SPu0VwYD8,pre,google/gemini-3-flash-preview,"The conspiracy theory claims that aliens reside in Antarctica, where they have established military bases.",Aliens live in Antarctica and have military bases set up there.,No because it's safer that way and there are more opportunities,50.0,0.7,"The post is vague and lacks context. While it seems to respond to a question, it doesn't explicitly endorse or deny the existence of aliens or bases in Antarctica.",True,,R_7K9Hu6SPu0VwYD8::pre,
c36a6b36cc5bbdf23e27d6ac1fbf2599a66783eb62b1a59a66fbec207cb8141c,R_7K9Hu6SPu0VwYD8,post,google/gemini-3-flash-preview,"The conspiracy theory claims that aliens reside in Antarctica, where they have established military bases.",Aliens live in Antarctica and have military bases set up there.,I love conspiracy theories,50.0,0.8,The author expresses a general interest in conspiracy theories but does not take a stance on this specific claim.,True,,R_7K9Hu6SPu0VwYD8::post,
cb059dc6f65095febb299f954158b0278da19993ee324aa6a7adaa1453cc603d,R_6kzXiSXkuL0xiU5,pre,google/gemini-3-flash-preview,The conspiracy theory claims that Lee Harvey Oswald was not the sole assassin responsible for the assassination of President John F. Kennedy and that there may have been additional individuals involved in the attack.,Lee Harvey Oswald was not the only assassin involved in the assassination of JFK.,We probably won’t ever know the exact truth,50.0,0.9,"The post expresses uncertainty and the belief that the truth is unknowable, which is a neutral stance regarding the specific claim of multiple assassins.",True,,R_6kzXiSXkuL0xiU5::pre,
c8b57351a162ac5510ccdefd69cf199186487fab9bf68485399bb077046deb15,R_6kzXiSXkuL0xiU5,post,google/gemini-3-flash-preview,The conspiracy theory claims that Lee Harvey Oswald was not the sole assassin responsible for the assassination of President John F. Kennedy and that there may have been additional individuals involved in the attack.,Lee Harvey Oswald was not the only assassin involved in the assassination of JFK.,AI is interesting and I’m sure I’ll learn more about it in the future,50.0,1.0,"The post is entirely off-topic, discussing AI instead of the JFK assassination.",True,,R_6kzXiSXkuL0xiU5::post,
2cae2c13311efa96cdef4bd8d38eb1e347591245bf1d43ead3547dd799b5e06d,R_5cvtewGjYZ2IYBb,pre,google/gemini-3-flash-preview,"The conspiracy theory being discussed is the belief that the Earth is hollow and that entry to this space is restricted to only a few people. The mention of an ""ice wall"" suggests a connection to the idea that such structures hide the truth about the Earth's hollow nature.",Earth is hollow and only accessible to a few people.,It's called inner Earth.,85.0,0.9,"The author uses the specific terminology ('inner Earth') associated with the hollow earth theory, implying acceptance of the premise.",True,,R_5cvtewGjYZ2IYBb::pre,
d8cd0de344fde021246bfce03a1bd173c73b9a64ad5a9d6bc1fe89dad4ab0096,R_5cvtewGjYZ2IYBb,post,google/gemini-3-flash-preview,"The conspiracy theory being discussed is the belief that the Earth is hollow and that entry to this space is restricted to only a few people. The mention of an ""ice wall"" suggests a connection to the idea that such structures hide the truth about the Earth's hollow nature.",Earth is hollow and only accessible to a few people.,Even with proof people still won't believe I'm a 1percenter .,50.0,0.7,The post is vague and seems to refer to the author's personal status ('1percenter') rather than the hollow earth theory.,True,,R_5cvtewGjYZ2IYBb::post,
