item_id,ResponseId,timepoint,post_text,v1_score,n_raters_ok,claude_stance_score,claude_stance_category,claude_response_type,claude_focal_relevance,claude_sarcasm_or_irony,claude_confidence,claude_evidence_quote,claude_rationale,gpt_stance_score,gpt_stance_category,gpt_response_type,gpt_focal_relevance,gpt_sarcasm_or_irony,gpt_confidence,gpt_evidence_quote,gpt_rationale,gemini_stance_score,gemini_stance_category,gemini_response_type,gemini_focal_relevance,gemini_sarcasm_or_irony,gemini_confidence,gemini_evidence_quote,gemini_rationale,grok_stance_score,grok_stance_category,grok_response_type,grok_focal_relevance,grok_sarcasm_or_irony,grok_confidence,grok_evidence_quote,grok_rationale,deepseek_stance_score,deepseek_stance_category,deepseek_response_type,deepseek_focal_relevance,deepseek_sarcasm_or_irony,deepseek_confidence,deepseek_evidence_quote,deepseek_rationale,consensus_applicable,consensus_score,consensus_category,consensus_response_type,consensus_focal_relevance,score_sd,dispersion_flag,n_scored,n_not_applicable
R_11LcDve45tmwQjD::pre,R_11LcDve45tmwQjD,pre,Did you hear about JFK getting shot? Heard it was a political hit...,,5,62,leans_for,mixed_assertion_question,focal_claim,False,0.55,Heard it was a political hit...,"The post frames JFK's assassination as a 'political hit,' implying deliberate conspiracy beyond the official account, lending mild support to the focal claim without asserting foreign powers specifically.",65,leans_for,mixed_assertion_question,focal_claim,False,0.68,"""Did you hear about JFK getting shot? Heard it was a political hit...""","The post raises the assassination as a topic and adds an insinuation that it was a “political hit,” which implicitly supports a non-lone-gunman/organized plot interpretation, though it gives no specifics about foreign powers or a silenced hitman.",70,leans_for,mixed_assertion_question,focal_claim,False,0.85,Heard it was a political hit...,"The author shares a rumor that the assassination was a 'political hit,' providing suggestive support for the focal claim's premise of a hired hitman.",65,leans_for,question_raising,focal_claim,False,0.7,Heard it was a political hit...,"Question-raising post that relays the political-hit premise without distancing, inviting audience consideration of a non-official account.",65,leans_for,question_raising,focal_claim,False,0.7,Heard it was a political hit...,"The post poses a question but the follow-up 'Heard it was a political hit...' introduces the conspiracy premise without distancing, framing the assassination as a deliberate 'hit' rather than a lone act.",True,65,leans_for,mixed_assertion_question,focal_claim,2.88,False,5,0
R_1ISGRZuYxMwoDzt::pre,R_1ISGRZuYxMwoDzt,pre,Can someone please find that piece of evidence that absolutely proves this once and for all!!???,,5,65,leans_for,question_raising,focal_claim,False,0.72,Can someone please find that piece of evidence that absolutely proves this once and for all!!???,"The question presupposes the claim is likely true and expresses frustration that definitive proof hasn't emerged, implying belief in the conspiracy while calling for confirmation.",66,leans_for,question_raising,focal_claim,False,0.74,"""find that piece of evidence that absolutely proves this once and for all""","The post asks others to locate definitive proof, implying the author expects or suspects the claim is true rather than neutrally asking whether it’s true.",70,leans_for,question_raising,focal_claim,False,0.8,find that piece of evidence that absolutely proves this once and for all!!???,"The author asks for definitive proof of the claim, implying a strong desire for it to be proven true or an expectation that such evidence exists.",70,leans_for,question_raising,focal_claim,False,0.85,Can someone please find that piece of evidence that absolutely proves this once and for all!!???,"Question assumes definitive proof exists and seeks it, implying acceptance of the focal claim.",65,leans_for,question_raising,focal_claim,False,0.7,Can someone please find that piece of evidence that absolutely proves this once and for all!!???,"The post is a rhetorical question demanding definitive proof of the focal claim. It presupposes the claim is plausible enough to warrant such proof, pressuring the audience to consider its truth, which leans toward support.",True,66,leans_for,question_raising,focal_claim,2.59,False,5,0
R_1PmXfNf9blQH2cz::pre,R_1PmXfNf9blQH2cz,pre,Can't believe that was predicted by the Simpsons earlier in the years. We should go ahead and get those guys a secret room to keep on predicting,,5,,not_applicable,assertion,other_topic,False,0.82,Can't believe that was predicted by the Simpsons earlier in the years.,"Post is about The Simpsons predicting events, not about Anonymous backing the government or organizing daily life. No connection to the focal claim.",,not_applicable,assertion,other_topic,False,0.86,"""Can't believe that was predicted by the Simpsons earlier in the years.""","The post discusses the Simpsons predicting events and suggests giving them a secret room to keep predicting. It does not reference Anonymous, government control, or organizing daily life worldwide.",70,leans_for,assertion,focal_claim,False,0.65,Can't believe that was predicted by the Simpsons earlier in the years.,"The author implicitly accepts the reality of the focal claim by expressing amazement that its events were predicted by The Simpsons, suggesting a supportive stance.",65,leans_for,assertion,focal_claim,True,0.7,Can't believe that was predicted by the Simpsons earlier in the years.,"Post presupposes the focal events occurred and were accurately predicted, with light sarcasm in the 'secret room' suggestion.",50,neutral_uncommitted,assertion,related_conspiracy,False,0.7,Can't believe that was predicted by the Simpsons earlier in the years.,"The post references a prediction by The Simpsons, which is a different conspiracy topic from the focal claim about Anonymous backing the government and organizing daily life. It does not mention Anonymous, government backing, or organizing daily life.",True,65,not_applicable,assertion,other_topic,10.41,False,3,2
R_1QhC42toY5iT1x2::pre,R_1QhC42toY5iT1x2,pre,I think the government had President Kennedy killed. He was involved with some ideas that some political figures didn't agree with.,,5,82,argues_for,assertion,focal_claim,False,0.92,I think the government had President Kennedy killed. He was involved with some ideas that some political figures didn't agree with.,Directly asserts the focal claim and provides a supporting motive. 'I think' softens slightly but the post clearly endorses the conspiracy claim.,90,argues_for,assertion,focal_claim,False,0.92,I think the government had President Kennedy killed.,"The post directly states belief that the government killed JFK and offers a supporting motive (political disagreements), presenting the focal claim as true rather than as a question or uncertainty.",95,argues_for,assertion,focal_claim,False,1.0,I think the government had President Kennedy killed.,"The post explicitly asserts the focal claim and provides a motive for the assassination, indicating strong endorsement.",85,argues_for,assertion,focal_claim,False,0.9,I think the government had President Kennedy killed.,Direct first-person endorsement of the exact focal claim plus supporting premise.,90,argues_for,assertion,focal_claim,False,0.9,I think the government had President Kennedy killed.,The post directly asserts the focal claim and provides a supporting reason.,True,90,argues_for,assertion,focal_claim,5.03,False,5,0
R_1TTsYRqhJs3RGjK::pre,R_1TTsYRqhJs3RGjK,pre,"It’s wild how a clip about improving child survival to naturally stabilize population growth got flipped into a global ""villain plot."" Most of these theories fall apart once you actually watch the full talk instead of just the viral snippets.",,5,10,argues_against,assertion,focal_claim,False,0.92,"a clip about improving child survival to naturally stabilize population growth got flipped into a global ""villain plot."" Most of these theories fall apart","Post directly debunks the focal claim, framing it as a misrepresentation of Gates's actual message and asserting the theories collapse under scrutiny.",12,argues_against,assertion,focal_claim,False,0.86,"""got flipped into a global 'villain plot.' Most of these theories fall apart once you actually watch the full talk""","The post frames the Bill Gates vaccine/population idea as a misrepresentation of a talk about child survival and population stabilization, and claims the theory collapses when viewed in full context, implying the conspiracy claim is false.",10,argues_against,assertion,focal_claim,False,0.95,Most of these theories fall apart once you actually watch the full talk instead of just the viral snippets.,"The author explicitly debunks the conspiracy theory, attributing it to out-of-context clips and stating the theories 'fall apart' upon closer inspection.",10,argues_against,assertion,focal_claim,True,0.9,Most of these theories fall apart once you actually watch the full talk instead of just the viral snippets.,Post directly rejects the focal claim by calling it a misrepresentation of Gates' child-survival remarks and stating the theories 'fall apart'.,10,argues_against,assertion,focal_claim,False,0.95,Most of these theories fall apart once you actually watch the full talk instead of just the viral snippets.,The post directly addresses the focal claim by describing it as a misinterpreted 'villain plot' and asserts that the theories fall apart upon examining the full evidence.,True,10,argues_against,assertion,focal_claim,0.89,False,5,0
R_1cBZHRU2IiVnNKh::pre,R_1cBZHRU2IiVnNKh,pre,"The moon landing could be fake. However, I'm not quite sure.",,5,50,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.82,"The moon landing could be fake. However, I'm not quite sure.",The post raises the possibility but immediately hedges with explicit uncertainty. No net lean in either direction; genuinely uncommitted.,55,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.84,"The moon landing could be fake. However, I'm not quite sure.","The post floats the possibility that the moon landing was faked but immediately emphasizes the author’s uncertainty, without offering supporting reasons or rejecting the claim.",50,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.95,"The moon landing could be fake. However, I'm not quite sure.","The author explicitly states the focal claim as a possibility but immediately follows up with a statement of personal uncertainty, remaining uncommitted.",50,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.9,"The moon landing could be fake. However, I'm not quite sure.",Directly references focal claim but expresses only personal uncertainty with no directional endorsement or rejection.,50,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.9,"The moon landing could be fake. However, I'm not quite sure.","The post directly mentions the focal claim but frames it as a possibility ('could be') and explicitly states the author's uncertainty ('not quite sure'), without leaning toward support or rejection.",True,50,neutral_uncommitted,uncertainty_statement,focal_claim,2.24,False,5,0
R_1dpndFjPavEUbSw::pre,R_1dpndFjPavEUbSw,pre,I have a question regarding the JFK assassination. Did Lee Harvey Oswald really act alone? Your opinion please.,,5,62,leans_for,question_raising,focal_claim,False,0.65,Did Lee Harvey Oswald really act alone? Your opinion please.,"The question implicitly casts doubt on the lone-gunman conclusion, inviting the audience to question the official account. Framing it as a genuine open question leans toward the conspiracy claim.",65,leans_for,question_raising,focal_claim,False,0.82,Did Lee Harvey Oswald really act alone?,"By publicly questioning whether Oswald acted alone, the post invites suspicion of a broader plot beyond the official lone-gunman account, which aligns with the focal claim though it doesn’t name specific additional actors.",60,leans_for,question_raising,focal_claim,False,0.85,Did Lee Harvey Oswald really act alone?,"The post raises a question that expresses skepticism toward the official lone-gunman narrative, thereby leaning toward the focal claim that others were involved.",50,neutral_uncommitted,question_raising,focal_claim,False,0.8,Did Lee Harvey Oswald really act alone?,Pure open question inviting opinions on the lone-gunman issue; no endorsement or direction.,65,leans_for,question_raising,focal_claim,False,0.8,Did Lee Harvey Oswald really act alone?,"The post poses a question that challenges the official conclusion (Oswald acted alone), inviting doubt and implying the possibility of other actors, which aligns with the focal claim.",True,62,leans_for,question_raising,focal_claim,6.19,False,5,0
R_1drGmHOuicTNZjr::pre,R_1drGmHOuicTNZjr,pre,I would not make a post on this topic.,,5,,not_applicable,declines_to_post,focal_claim,False,0.99,I would not make a post on this topic.,Participant explicitly declines to post about the topic. No stance is expressed.,,not_applicable,declines_to_post,focal_claim,False,0.98,I would not make a post on this topic.,"The participant explicitly refuses to post about the topic, without expressing any view about the election-irregularities claim.",,not_applicable,declines_to_post,focal_claim,False,1.0,I would not make a post on this topic.,The participant explicitly declines to write a social media post about the focal topic.,,not_applicable,declines_to_post,no_propositional_content,False,0.95,I would not make a post on this topic.,Explicit refusal to post about the topic; no content on the claim.,,not_applicable,declines_to_post,focal_claim,False,0.99,I would not make a post on this topic.,"The participant explicitly states they would not make a post about the topic, which is a direct refusal to engage in the writing task.",False,,not_applicable,declines_to_post,focal_claim,,False,0,5
R_1iEWFFN92DjsMId::pre,R_1iEWFFN92DjsMId,pre,"The only concern about the wings is everytime you go to park,or drive you have to fold down the wings,what if they get stuck,then what?",,5,35,leans_against,question_raising,focal_claim,False,0.72,"what if they get stuck,then what?","The post accepts foldable wings as the proposed solution but raises a practical failure scenario, implying skepticism about the design's reliability without fully rejecting the concept.",38,leans_against,question_raising,focal_claim,False,0.74,"""what if they get stuck,then what?""","The post focuses on foldable wings as the supposed solution, but highlights a failure mode (wings getting stuck) that undermines the idea that foldable wings resolve practicality concerns, implying skepticism.",35,leans_against,question_raising,focal_claim,False,0.8,"what if they get stuck,then what?","The post raises a specific practical concern about the foldable wings, casting doubt on the focal claim's assertion that they resolve practicality issues.",30,leans_against,question_raising,focal_claim,False,0.85,"what if they get stuck,then what?","Post raises a practical failure-mode concern about the exact foldable-wing solution named in the focal claim, thereby casting doubt on feasibility.",30,leans_against,question_raising,focal_claim,False,0.8,"The only concern about the wings is everytime you go to park,or drive you have to fold down the wings,what if they get stuck,then what?","The post directly addresses the focal claim's proposed solution (foldable wings) by raising a practical problem (wings getting stuck). This is a premise-challenging question that casts doubt on the feasibility of the design, leaning against the claim's viability.",True,35,leans_against,question_raising,focal_claim,3.51,False,5,0
R_1iX7saQHvTDfWfs::pre,R_1iX7saQHvTDfWfs,pre,"The conspiracy theories out there about elabortu.Secure , being alive or not any thoughts ideas , I would love to debate.",,5,50,neutral_uncommitted,question_raising,focal_claim,False,0.72,"conspiracy theories out there about elabortu.Secure , being alive or not any thoughts ideas , I would love to debate.","The post invites debate without taking a side, neither endorsing nor dismissing the alive claim. It's a neutral call for discussion with no directional lean.",52,neutral_uncommitted,question_raising,focal_claim,False,0.62,"""conspiracy theories ... being alive or not any thoughts ideas , I would love to debate.""","The post brings up the idea that Elvis/Tupac might be alive but mainly asks others for thoughts and invites debate, without endorsing either side.",50,neutral_uncommitted,question_raising,focal_claim,False,0.9,"being alive or not any thoughts ideas , I would love to debate.",The post mentions the conspiracy theories (with a typo for Elvis and Tupac Shakur) and invites debate without taking a stance.,50,neutral_uncommitted,question_raising,focal_claim,False,0.8,"about elabortu.Secure , being alive or not any thoughts ideas , I would love to debate.",Purely invites open debate on the alive/dead question with no directional claims or premises.,50,neutral_uncommitted,question_raising,focal_claim,False,0.8,"any thoughts ideas , I would love to debate.","The post explicitly mentions the conspiracy theories about Elvis and Tupac being alive and asks for thoughts and ideas, framing it as a topic for debate. It does not assert a position or imply support or doubt, but neutrally invites discussion.",True,50,neutral_uncommitted,question_raising,focal_claim,0.89,False,5,0
