"response_id","study","cluster_id","topic"
"R_502HaARTEyTzBkH","S1",0,"Mixed / Unclassified"
"R_5gjAsLzBALW7N0p","S1",7,"Trump as Russian Asset"
"R_3YXMcC5OBTGt0LN","S1",0,"Mixed / Unclassified"
"R_7w6OP3J6CtoKzjO","S1",0,"Mixed / Unclassified"
"R_5zv26jLvuaGa2uR","S1",7,"Trump as Russian Asset"
"R_5PkaSyZPnVUQ4F8","S1",0,"Mixed / Unclassified"
"R_3QyWBdwj5SpRmaw","S1",13,"JFK Assassination Conspiracy"
"R_7KoTyHVEkPi74UV","S1",25,"Government alien cover-up"
"R_5dhxFRv6yt1BDvw","S1",13,"JFK Assassination Conspiracy"
"R_1jpjzUf1FOeXBLj","S1",13,"JFK Assassination Conspiracy"
"R_3emeG94FgXa06Rm","S1",3,"Moon Landing Hoax"
"R_5dcNpI3knvxX207","S1",0,"Mixed / Unclassified"
"R_3nOgYme1ZPqTKKZ","S1",25,"Government alien cover-up"
"R_3R8k4j0QZtYTBdL","S1",24,"Area 51 Alien Cover-up"
"R_55HClmJtEob6QzU","S1",9,"Election fraud conspiracy beliefs"
"R_5jVun3tLe8kOFH6","S1",21,"Deliberate COVID-19 Lab Release"
"R_1OH8OgjQvUn71nK","S1",0,"Mixed / Unclassified"
"R_7LVwWhUK3eWwgjn","S1",3,"Moon Landing Hoax"
"R_7SlysEWMZZsU7t2","S1",0,"Mixed / Unclassified"
"R_5oAPrSy4V0gnmp7","S1",0,"Mixed / Unclassified"
"R_1X4GO94gu8EJLqZ","S1",13,"JFK Assassination Conspiracy"
"R_6C7uVySRybCnp5A","S1",0,"Mixed / Unclassified"
"R_3YEjKxXWzbkMRHP","S1",13,"JFK Assassination Conspiracy"
"R_7zHBqDxKxL3CHiq","S1",13,"JFK Assassination Conspiracy"
"R_6CygBTCXqpzXIe4","S1",13,"JFK Assassination Conspiracy"
"R_5N9PenceXwxcJa1","S1",24,"Area 51 Alien Cover-up"
"R_3qNKXCEnUhxVqWs","S1",26,"Existence of Alien Life"
"R_6jjPg3mzwFIDROt","S1",0,"Mixed / Unclassified"
"R_6p4vVkvhofIxhsJ","S1",13,"JFK Assassination Conspiracy"
"R_7BpL6hMvvtdyWGt","S1",9,"Election fraud conspiracy beliefs"
"R_3qiFslY0KGpn6md","S1",21,"Deliberate COVID-19 Lab Release"
"R_36zYDu4CovRrPSp","S1",13,"JFK Assassination Conspiracy"
"R_3jvATOC5aTP9cyt","S1",18,"Hiding medical cures for profit"
"R_51zouIwV7jqvIiM","S1",13,"JFK Assassination Conspiracy"
"R_6EzS5nBK4ZRb8JZ","S1",3,"Moon Landing Hoax"
"R_6DjvZqrZEql3IQc","S1",0,"Mixed / Unclassified"
"R_3jU601f0GW943Hi","S1",25,"Government alien cover-up"
"R_3e36ESi8yVHULa2","S1",18,"Hiding medical cures for profit"
"R_7P80p2SttoIJzZN","S1",21,"Deliberate COVID-19 Lab Release"
"R_6jlcU4tN7E5ZoqZ","S1",13,"JFK Assassination Conspiracy"
"R_572sEqvsrOHocQx","S1",21,"Deliberate COVID-19 Lab Release"
"R_3JmFOsNdVZucvlL","S1",13,"JFK Assassination Conspiracy"
"R_1cu7GOhhAlfH3Wr","S1",0,"Mixed / Unclassified"
"R_7qNFJWHUQjFCduX","S1",13,"JFK Assassination Conspiracy"
"R_3wzWIRcmQWGSCX9","S1",0,"Mixed / Unclassified"
"R_7lxYUm2vI9TVq2G","S1",0,"Mixed / Unclassified"
"R_73yk0KT4ENYsoR8","S1",13,"JFK Assassination Conspiracy"
"R_73N9vj2gzdqV5PH","S1",0,"Mixed / Unclassified"
"R_3pzIa2wYEToEadu","S1",13,"JFK Assassination Conspiracy"
"R_7LkTo0dmHQJfovn","S1",13,"JFK Assassination Conspiracy"
"R_7E9zwpmbwlLpThJ","S1",9,"Election fraud conspiracy beliefs"
"R_7njCZUVPjdpJetF","S1",0,"Mixed / Unclassified"
"R_7rwPkrxyb8Om2jr","S1",0,"Mixed / Unclassified"
