ResponseId,gpt_orientation,claude_orientation,gemini_orientation,orientation_consensus,n_votes,canonical_claim,gpt_rationale,claude_rationale,gemini_rationale
R_11LcDve45tmwQjD,affirms,affirms,affirms,affirms,3,JFK was assassinated by foreign powers who hired a hitman and then eliminated the hitman to prevent him from being questioned.,Restatement directly asserts the participant’s conspiracy narrative as true.,Restatement directly states the conspiracy: foreign powers hired and silenced a hitman.,The restatement directly asserts the participant's conspiracy theory about foreign powers and a hitman as true.
R_1ISGRZuYxMwoDzt,affirms,affirms,affirms,affirms,3,"Donald Trump and his relatives are secretly allies with Russia, sharing information and receiving large personal financial rewards in return.",Restatement directly asserts the described conspiracy; rating 100 means fully endorsing it.,Restatement directly states the conspiracy as true; 100 = full belief.,The restatement directly asserts the participant's conspiracy theory as true.
R_1PmXfNf9blQH2cz,affirms,affirms,affirms,affirms,3,"A group called Anonymous backs the government and organizes daily life worldwide, creating chaos rather than peace.",The restatement directly asserts the participant’s conspiracy claim; endorsing it means believing Anonymous controls society via government.,Restatement directly mirrors the participant's conspiracy claim verbatim.,The restatement directly asserts the participant's conspiracy theory as true.
R_1QhC42toY5iT1x2,affirms,affirms,affirms,affirms,3,The government had President Kennedy killed.,Restatement directly asserts the participant’s conspiracy; rating 100 means endorsing it as true.,Restatement directly states the conspiracy; rating 100 means believing it.,The restatement directly asserts the participant's conspiracy theory as true.
R_1TTsYRqhJs3RGjK,affirms,affirms,affirms,affirms,3,Bill Gates intentionally tries to reduce the human population through vaccines.,Restatement asserts the same vaccine depopulation conspiracy; rating 100 endorses it as true.,Restatement directly states the conspiracy as true; 100 = full belief.,The restatement directly asserts the participant's conspiracy theory about Bill Gates and vaccines as a fact.
R_1cBZHRU2IiVnNKh,affirms,affirms,affirms,affirms,3,The moon landing was faked.,Restatement asserts the conspiracy claim; rating 100 means fully believing the landing was staged.,"Rating 100 means believing the moon landing was staged, endorsing the conspiracy.","Rating 100 means believing the moon landing was faked, which affirms the conspiracy."
R_1dpndFjPavEUbSw,affirms,affirms,affirms,affirms,3,"The assassination of President Kennedy involved more people than just Lee Harvey Oswald, possibly including Russia, Cuba, or the CIA.","Restatement asserts a broader conspiracy beyond Oswald, matching participant’s described belief.",Restatement directly states the conspiracy: multiple parties involved in JFK assassination.,Rating 100 endorses the participant's belief that JFK's assassination involved a wider conspiracy beyond just Oswald.
R_1drGmHOuicTNZjr,affirms,affirms,affirms,affirms,3,"Donald Trump did not win the 2016 election fairly due to irregularities with voter rolls, including mistaken removal of voters and interference by Russia in states like Illinois.","Restatement asserts election was unfair due to voter roll issues and Russian interference, matching participant’s conspiracy.",Restatement directly asserts the conspiracy: Trump won unfairly via voter roll manipulation and Russian interference.,"Rating 100 means agreeing Trump did not win fairly, which directly affirms the participant's conspiracy theory."
R_1iEWFFN92DjsMId,affirms,affirms,affirms,affirms,3,"Flying cars will really exist in the future, enabled by existing technology and practical designs like foldable wings.",Restatement asserts flying cars will exist; a 100 rating endorses that belief rather than rejecting it.,"Rating 100 means believing flying cars will exist, matching participant's partial belief.",Rating 100 means endorsing the participant's belief that flying cars will exist.
R_1iX7saQHvTDfWfs,affirms,affirms,affirms,affirms,3,Elvis Presley and Tupac Shakur are still alive.,"Restatement claims they’re alive, matching the conspiracy question about them not being dead.","Rating 100 means believing both celebrities faked their deaths, endorsing the conspiracy.","Rating 100 means believing Elvis and Tupac are alive, which directly affirms the participant's conspiracy theory."
