item_id,ResponseId,study,field,n_raters_ok,mean_confidence,consensus_response_quality,consensus_primary_theme,evid_pos,expt_pos,emph_pos,detl_pos,conx_pos,priv_pos,lack_neg,deep_neg,angr_neg,evid_neg,bias_neg,mech_neg,trst_neg,offt_neg,emot_neg,n_contested_themes,low_agreement_flag
S1_R_174ks2CSkL2FGrT_pers,R_174ks2CSkL2FGrT,S1,persuasive,5,0.844,meta_or_off_topic,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_33NPUBFwcD3gruh_notpers,R_33NPUBFwcD3gruh,S1,not_persuasive,5,0.884,substantive,emot_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
S1_R_38UQQhiZgdgkFyo_notpers,R_38UQQhiZgdgkFyo,S1,not_persuasive,5,0.81,substantive,bias_neg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S1_R_3DT8JLGQWTR7jkp_pers,R_3DT8JLGQWTR7jkp,S1,persuasive,5,0.876,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_3mf66is9PhUN1E8_notpers,R_3mf66is9PhUN1E8,S1,not_persuasive,5,0.912,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_3rJkSaNiH0wTmXi_notpers,R_3rJkSaNiH0wTmXi,S1,not_persuasive,5,0.8,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
S1_R_50ATXwQyUxgMQMK_notpers,R_50ATXwQyUxgMQMK,S1,not_persuasive,5,0.556,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_51vK0q6jC5dvqnm_pers,R_51vK0q6jC5dvqnm,S1,persuasive,5,0.93,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_55ucGd49i1wQqRj_pers,R_55ucGd49i1wQqRj,S1,persuasive,5,0.93,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_5COhD8cTcWXuZqg_pers,R_5COhD8cTcWXuZqg,S1,persuasive,5,0.832,substantive,conx_pos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_5HBLtoDg16yD7q4_notpers,R_5HBLtoDg16yD7q4,S1,not_persuasive,5,0.684,substantive,conx_pos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_5i0auzEXzC1YxdT_notpers,R_5i0auzEXzC1YxdT,S1,not_persuasive,5,0.762,substantive,bias_neg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
S1_R_5n1QINma3BWWprw_pers,R_5n1QINma3BWWprw,S1,persuasive,5,0.808,substantive,deep_neg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
S1_R_5xy33zLbN258LJD_pers,R_5xy33zLbN258LJD,S1,persuasive,5,0.852,substantive,evid_pos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_6CPO3EF6NDU81T8_pers,R_6CPO3EF6NDU81T8,S1,persuasive,5,0.77,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_6OelRU3bHEkCBzP_notpers,R_6OelRU3bHEkCBzP,S1,not_persuasive,5,0.808,substantive,deep_neg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
S1_R_6TzSK8gKZprY0As_notpers,R_6TzSK8gKZprY0As,S1,not_persuasive,5,0.852,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S1_R_6X0TBwudJOF2pJD_pers,R_6X0TBwudJOF2pJD,S1,persuasive,5,0.798,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_6jjPg3mzwFIDROt_pers,R_6jjPg3mzwFIDROt,S1,persuasive,5,0.654,substantive,conx_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S1_R_6kUhr34Cz9qQBne_pers,R_6kUhr34Cz9qQBne,S1,persuasive,5,0.838,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S1_R_6t4OrcOxrQLCqUp_notpers,R_6t4OrcOxrQLCqUp,S1,not_persuasive,5,0.924,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_6ts9xtkbHgVwkTg_pers,R_6ts9xtkbHgVwkTg,S1,persuasive,5,0.818,unclassifiable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_72caCVtxEHSvpM5_notpers,R_72caCVtxEHSvpM5,S1,not_persuasive,5,0.792,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_75NSqFpjOvpNu57_pers,R_75NSqFpjOvpNu57,S1,persuasive,5,0.778,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_7GahyjvIqrdQHHH_notpers,R_7GahyjvIqrdQHHH,S1,not_persuasive,5,0.856,substantive,bias_neg,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S1_R_7MxMyewrcocQ53z_pers,R_7MxMyewrcocQ53z,S1,persuasive,5,0.848,substantive,evid_pos,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
