response_id,study,regime,direction,category,statement,statement_type,veracity_score,checkability,label,rationale,veracity_model,prompt_sha,scored_at
R_106jyKthlFTEsnf,study2,Standard,bunk,affirms,"JFK was assassinated by forces within the US government that opposed equal rights for black people, using Oswald as a scapegoat.",conspiracy_claim,25,70,mostly_false,"The core claim is that forces within the US government, specifically opposed to Black civil rights, orchestrated JFK’s assassination and used Lee Harvey Oswald as a scapegoat. Multiple official investigations, including the Warren Commission and later reviews, found **no evidence** that any US security or intelligence agencies, or other government entities, were involved in a plot to kill Kennedy or in framing Oswald.[2][12][7] The Warren Commission concluded that Oswald acted alone, and the House Select Committee on Assassinations, while judging that a conspiracy probably existed based on disputed acoustic evidence, expressly found no involvement by US government agencies and still concluded that a shot by Oswald killed the president.[8][12] Claims tying the motive specifically to opposition to equal rights for Black people and portraying Oswald purely as a scapegoat are speculative and unsupported by the available historical record and released government files, so the allegation is largely unsupported, though in principle it is empirically checkable if evidence existed.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10Z9AQIqbR9TOlY,study2,Standard,bunk,affirms,The government is hiding evidence of extraterrestrial beings and secretive aircraft operations from the public.,conspiracy_claim,15,90,mostly_false,"Public U.S. government reviews and declassified releases have found no evidence that extraterrestrial beings have visited Earth or that officials are concealing retrieved alien spacecraft; the Pentagon’s AARO report and related coverage say no verifiable information substantiates such claims, while the released UAP files are described as unresolved cases rather than proof of aliens.[1][3][8][9][12] The separate idea that the government is withholding some UAP-related records is partly true, but that does not support the broader allegation of a secret alien cover-up.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_10qNZ8V2LiscnGC,study2,Standard,debunk,affirms,Cell phones and computers originated from alien technology.,conspiracy_claim,0,70,false,"The development of cell phones and computers is extensively documented through human advances in physics, electronics, semiconductor technology, and computer science from the 19th and 20th centuries, including radio technology, transistors, integrated circuits, and software engineering, with no credible evidence that any of these originated from recovered or shared alien technology.[1] Claims that such devices derive from reverse-engineered UFOs (e.g., Roswell) are speculative and unsupported by verifiable data, while mainstream historical and technical records fully account for their invention and evolution without invoking extraterrestrial sources.[1]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_120fDBQJRWYDLBv,study2,Standard,debunk,affirms,Advertisements and venues like movie theaters contain subliminal messages to make us hungry or urge us to buy certain products.,conspiracy_claim,25,80,mostly_false,"The claim that advertisements and venues like movie theaters *contain* subliminal messages designed to make us hungry or urge us to buy products presupposes that this is a common, operative practice and that such messages effectively drive consumer behavior. Classic examples, such as the alleged 1950s movie-theater experiment flashing 'Drink Coca-Cola' and 'Eat Popcorn', have been exposed as fabricated, and reviews of the literature find no valid evidence that real-world subliminal advertising reliably influences consumers.[2][5][7] Modern experimental work shows that subliminal stimuli can have small, short-lived effects only under narrow lab conditions (e.g., when people are already thirsty and the product is immediately available), and experts conclude they cannot make people go buy things they don’t already want.[12][14][15] Thus, while subliminal perception exists and may be occasionally experimented with, the broad assertion that ads and movie theaters generally embed effective subliminal messages to make us hungry or compel purchases is largely unsupported by available evidence.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12Dd6iORrthX7HP,study2,Standard,debunk,denies,The government is hiding evidence that President Kennedy was assassinated by a lone gunman.,conspiracy_claim,25,80,mostly_false,"The claim has two parts: that the government is hiding evidence, and that this hidden evidence specifically shows Kennedy was assassinated by a lone gunman. There is strong documentation that U.S. agencies have withheld or delayed release of some JFK-related records despite laws mandating disclosure, which supports the general idea of government secrecy about the assassination.[3][4][7][13][14] However, the best available evidence from major official investigations—the Warren Commission and later reviews—concluded that Lee Harvey Oswald acted alone and found no evidence of a wider conspiracy.[1][4][5][8][10][13] The remaining classified records are widely expected, including by scholars and journalists, not to overturn the lone-gunman conclusion, and there is no public evidence that the government is specifically hiding proof that the assassination was by a lone gunman; if anything, withheld material is suspected by many to concern possible conspiratorial links or intelligence operations.[2][3][7][14][15] Thus, while secrecy about JFK records is real, the specific allegation that the hidden evidence shows a lone-gunman assassination is largely unsupported by available evidence.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12V1k6Wt6sLlqnL,study2,Standard,bunk,affirms,Biden did not win the 2020 presidency; Trump did.,conspiracy_claim,0,100,false,"Official certified results from the Federal Election Commission, the National Archives, and multiple independent outlets show that Joe Biden won the 2020 U.S. presidential election with 306 electoral votes to Donald Trump’s 232, and a popular vote margin of over 7 million votes.[1][3][4][5][8][11][12] Trump and allies alleged widespread fraud, but numerous audits, recounts, and court cases found no evidence sufficient to overturn any state’s results, and all states’ results were duly certified, confirming Biden as the legitimate winner.[1][9][12]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12as0QHBvkk3Yqf,study2,Standard,debunk,affirms,The Democratic Party is secretly sacrificing children or selling them into slavery.,conspiracy_claim,0,85,false,"This claim is a variant of QAnon-style conspiracies alleging that Democrats are part of a cabal that kidnaps, traffics, abuses, and ritually sacrifices children, which reputable reporting and fact-checking organizations have found to be baseless and unsupported by any credible evidence.[3][7][10][4][9][12] Detailed investigations of specific related allegations such as Pizzagate and broader claims about Democratic elites engaging in child trafficking or ritual abuse have consistently found no victims, no investigations substantiating the accusation, and no physical or documentary evidence, leading fact-checkers and law enforcement to characterize these narratives as fictitious.[9][10][4][7][12]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12i8uTcvik0jjyx,study2,Standard,debunk,affirms,The Vatican has proof of UFOs hidden in its vaults.,conspiracy_claim,20,40,mostly_false,"The claim asserts that the Vatican *has proof of UFOs* hidden in its vaults, i.e., documented or physical evidence of extraterrestrial craft or beings that the Church is knowingly concealing. While various researchers, whistleblowers, and UFO enthusiasts allege that the Vatican archives might hold UFO-related material or even evidence of an alleged 1933 crash, these are speculative claims without publicly verifiable documentation.[4][7][8][10][12][15] The Vatican Apostolic Archives’ prefect has explicitly stated that ""there is no document in the archives that regards extraterrestrial life"" and has urged scholars to be dissuaded from looking for such material, directly denying that the archives contain proof of aliens or UFOs.[2][5] Independent journalistic checks, such as NewsNation’s search for records on specific alleged UFO incidents in the archives, have likewise found no evidence of such documentation.[4] Because only allegations and rumors support the idea and there is clear official denial with no corroborating evidence, the claim as stated is largely unsupported and best characterized as mostly false, though not utterly uncheckable, since archive contents and official statements can be investigated to some extent.",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_12mddRTRTwSJfYD,study2,Standard,debunk,affirms,Immunizations are one of the causes of autism.,official_account,100,95,false,"Extensive epidemiological and clinical research finds **no causal link** between immunizations and autism, including large cohort studies, meta-analyses, and reviews by WHO, CDC, the American Academy of Pediatrics, Autism Speaks, and major medical centers.[3][5][6][7][9][10][11][13][15] Earlier suggestions of a link (e.g., Wakefield’s 1998 paper) have been discredited and retracted, and numerous well‑designed studies examining specific vaccines (such as MMR and thimerosal-containing vaccines) consistently show no association with autism, making the claim that immunizations are one of the causes of autism clearly false.[3][7][8][10][12][13][15]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
R_1338eYZQNVs6hYa,study2,Standard,bunk,affirms,"The assassination of Kennedy was orchestrated by the government, the mafia, or foreign agents.",conspiracy_claim,25,80,mostly_false,"The statement asserts that Kennedy’s assassination was orchestrated by the U.S. government, the Mafia, or foreign agents (e.g., Cuban or Soviet). Official investigations—the Warren Commission and later the House Select Committee on Assassinations—found no evidence that the U.S. government (including CIA, FBI, Secret Service), the Cuban or Soviet governments, or the national organized crime syndicate as groups orchestrated the assassination, though the HSCA left open only the limited possibility that individual members of anti-Castro groups or organized crime could have been involved.[2][8][12] Subsequent releases of documents and independent reviews have not produced credible evidence tying these entities as directing conspirators, and mainstream historical consensus remains that Lee Harvey Oswald was the lone gunman and that no proof has emerged of orchestration by the government, the Mafia as a group, or foreign governments.[6][8][9]",openrouter/perplexity/sonar-pro,d595a020b777,2026-07-04T16:32:06
