topic,Claude,GPT-5.2,Gemini,Grok
JFK Assassination,32,41,9,30
COVID Lab Origin,10,13,3,11
Moon Landing Hoax,28,29,15,22
9/11 Inside Job,17,19,6,20
Global Elite Cabal,11,10,3,14
Government Hides Alien Contact,12,8,8,11
Stolen Elections,8,10,4,7
Alien Tech Cover-Up (Area 51),7,8,3,6
Big Pharma Suppresses Cures,2,4,1,4
Aliens Exist,9,11,3,6
Chemtrails,3,4,1,7
Trump as Russian Asset,1,1,1,0
Bigfoot / Cryptids,8,5,1,9
Epstein Murdered,6,15,3,2
AI Takeover,7,3,1,5
Celebrity Faked Deaths,2,3,2,2
Staged Trump Assassination,2,4,0,4
Vaccines Cause Autism,1,2,2,3
Mixed / Unclassified,213,202,85,187
