cluster_id,rank,exemplar
2,1,Donald Trump's attempted assassination was staged by his own movement.
2,2,The assassination attempt on Trump was staged by him and his campaign for publicity.
2,3,The first assassination attempt of Donald Trump was staged.
2,4,Trump's assassination attempt was staged to increase his popularity.
2,5,The attempted assassination of Donald Trump was staged to boost his chances of winning office.
2,6,The assassination attempt on Trump was faked to generate sympathy and portray him as a martyr.
2,7,The assassination attempt on Donald Trump was staged.
2,8,The assassination attempt on Trump was staged.
2,9,Trump faked the shooting attempt on his life.
2,10,Trump staged his assassination attempt to create sympathy with his supporters.
2,11,The first assassination attempt on Donald Trump during his presidential campaign was orchestrated by Trump himself to gain sympathy votes and win the election.
2,12,Trump's shooting during his presidential campaign was a planned event to gain attention and public sympathy.
2,13,"Donald Trump was not actually hit in the ear with a bullet, and the incident was faked."
2,14,The current POTUS staged the last alleged assassination attempt against him.
2,15,Trump's ear getting shot was a deliberate act to gain more followers for his campaign.
2,16,Trump planned his own assassination attempt to garner more votes.
2,17,"Trump was actually shot in the ear while campaigning in Pennsylvania, but it completely healed in two days as part of a stunt to garner sympathy."
2,18,"The gunshot wound to Trump was staged; although actual gunfire occurred, he was not struck."
2,19,"President Trump was not actually shot in Pennsylvania but used a blood capsule, as evidenced by the blood blowback going forward and the improbability of surviving a high-powered gunshot without significant damage."
2,20,"The attempted assassination of Donald Trump was a staged event, with inconsistencies in the supposed wound to his ear and the involvement of a bystander who was actually shot and killed."
2,21,"Donald Trump survived an assassination attempt in Butler, Pennsylvania, evidenced by questionable blood spatter patterns and insufficient security measures."
2,22,The president orchestrated a shooting incident during the election to gain focus and sympathy.
2,23,The government faked the assassination attempts on Donald Trump to unify the country.
2,24,President Trump was not actually shot.
3,1,The US never landed on the moon; it was a hoax made with cameras and crew.
3,2,The US did not land on the moon; it was faked on a movie set.
3,3,The Apollo 11 Moon Landing was staged on Earth in a TV studio rather than actually occurring on the moon.
3,4,The moon landing was faked in a studio to win the space race.
3,5,The moon landing was staged like a Hollywood movie and never actually happened.
3,6,The moon landing was staged and filmed in a movie studio.
3,7,The Apollo 11 Moon Landing was staged and was filmed in a TV studio.
3,8,The moon landing was staged and filmed in a studio.
3,9,"The US never landed on the moon, and the event was staged in a Hollywood studio."
3,10,The moon landing was staged on a soundstage and never actually occurred on the moon.
3,11,The moon landing was not real and was filmed in a studio.
3,12,The moon landings were staged and did not actually happen.
3,13,The moon landing was a hoax and was faked by Americans.
3,14,"The moon landing was staged, and everything the public saw was filmed in a studio."
3,15,The moon landing was faked and actually produced in Hollywood rather than occurring on the moon.
3,16,The moon landing was faked and was actually just acted out.
3,17,The moon landing during the space race was staged on a movie set.
3,18,"NASA did not actually send astronauts to the moon, and the live feed was staged from a desert location."
3,19,The moon landing was staged to deceive the public.
3,20,"The moon landing was faked, and the scenes were created in a studio."
